flat_id	rooms	studio	total_area	living_area	kitchen_area	refit	prepayment	view_from_windows	balconies	floor	floors	deposit	utility_bills	ceiling_height	gaz	garbage_chute	building_year	walls	ceiling_type	rent	можно с детьми	микроволновая печь	интернет	парк	закрытая территория	кондиционер	стиральная машина	холодильник	посудомоечная машина	мебель в комнатах	можно с животными	плита	мебель на кухне	телевизор	фитнес
2061728772	0	1	27.0	18.0	4.0	euro				2	21	30000	no		0	0	2017	mono	ferroc	24000	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
2061726754	2	0	52.0	30.0	12.0	euro		yard	1	4	12	68000	no	2.7	1	0	2019	mixed	ferroc	68000	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0
2061380742	1	0	34.0	17.0	10.0	euro	1	both	1	6	15	20000	no	2.7	0	0	2020	brick	ferroc	40000	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0
2061972639	1	0	50.0	24.0	12.0	design	1	street		4	5	64000	no		1	0	1837	brick		64000	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1
2060537559	2	0	62.1	28.0	15.0				1	6	17	58000	no		0	1	2004	mono	ferroc	58000	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
2062077260	2	0	87.0	24.0	36.0	design			1	3	8	180000	no		0	0	2022	mixed	ferroc	180000	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2061170286	3	0	78.0			design	1	street	2	11	17				0	1	2015	mono	ferroc	109500	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0
2061801153	1	0	33.8	15.0	9.0				1	21	25	45000	no		1	0	2015	mono	ferroc	45000	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0
2061371988	0	1	24.0	17.0			1			15	20	30000	no		1	0	2022	mixed	ferroc	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061171557	2	0	60.0		20.0	design				5	6	100000	no		0	0	1903	brick	ferroc	110000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2062018526	1	0	42.0	18.0	12.0	cosm		yard	1	9	12	40000			0	1	2004	mono	ferroc	40000	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0
2061264130	1	0	31.0		5.0	euro	1	yard	1	3	5	50000	no	2.5	1	0	1961	brick	ferroc	50000	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0
2061384619	3	0	105.0	64.0	11.0	euro		both		5		125000	no		1	0				125000	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0
2060351588	3	0	110.0	54.0	28.0	cosm		yard		2	5	100000			0	0	1956	brick	ferroc	100000	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0
2062115988	1	0	37.0			euro	1	yard	1	7	18				0	0	2007	mixed	ferroc	54500	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0
2061883675	1	0	39.3	19.5	11.6	euro	1	street	1	5	8	60000	no	2.7	1	0	2022	mixed	ferroc	60000	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1
2061381706	4	0	120.0	80.0	18.0	design			1	5	10	400000	no		0	0		mono		350000	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0
2061671527	0	1	16.0		3.0	cosm				1	4	35000			0	0	1877	brick		35000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061827203	0	1	15.0	10.0	3.0	euro		both		1		45000	yes	3.5	0	0				45000	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2061175928	1	0	36.0	16.0	11.0	euro		street	1	16	26	42000	no		1	0	2018	mono	mixed	42000	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0
2060716493	2	0	70.0	45.0	12.0	cosm	1	street		3	4	65000	no		1	0	1840	brick		65000	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0
2060433083	1	0	34.0	20.0	9.0	euro		both		3	29	20000	no		1	0	2022	mono	ferroc	40000	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0
2061381028	4	0	100.0	68.0	12.0	euro			1	4	10	190000	no		0	0	2014	mono	ferroc	170000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
